indicator,territory,unit,n_years,start_year,end_year,full_slope,common_n_years,common_slope
sea level,Tonga,mm / year,31,1993,2023,3.8709677419355115,31,3.8709677419355115
sea level,Tuvalu,mm / year,31,1993,2023,4.3951612903225925,31,4.3951612903225925
sea level,Vanuatu,mm / year,31,1993,2023,4.596774193548389,31,4.596774193548389
sea level,Wallis and Futuna,mm / year,31,1993,2023,4.15322580645161,31,4.15322580645161
rainfall,American Samoa,mm / year,47,1979,2025,0.2159690101757618,31,0.021370967741939667
rainfall,Cook Islands,mm / year,47,1979,2025,0.05822155411655655,31,-0.05124999999999688
rainfall,Federated States of Micronesia,mm / year,47,1979,2025,0.4359158186863962,31,0.5568548387096814
rainfall,Fiji,mm / year,47,1979,2025,0.09614939870490226,31,0.24419354838710394
rainfall,French Polynesia,mm / year,47,1979,2025,-0.06465078630897413,31,-0.20221774193547815
rainfall,Guam,mm / year,47,1979,2025,0.1869333950046257,31,0.22858870967742148
rainfall,Kiribati,mm / year,47,1979,2025,-0.22700046253468323,31,0.020645161290312946
rainfall,Marshall Islands,mm / year,47,1979,2025,0.1650439407955605,31,0.15391129032257678
rainfall,Nauru,mm / year,47,1979,2025,-0.48657493061978974,31,-0.21685483870968017
rainfall,New Caledonia,mm / year,47,1979,2025,-0.3990864939870484,31,-0.5030241935483875
rainfall,Niue,mm / year,47,1979,2025,0.4297756706752985,31,0.4956048387096828
rainfall,Northern Mariana Islands,mm / year,47,1979,2025,0.11328630897317417,31,0.24939516129032532
rainfall,Palau,mm / year,47,1979,2025,0.4008556891766848,31,0.173750000000005
rainfall,Papua New Guinea,mm / year,47,1979,2025,0.14163968547640982,31,0.2453225806451709
rainfall,Pitcairn,mm / year,47,1979,2025,-0.11975023126734415,31,-0.18173387096773258
rainfall,Samoa,mm / year,47,1979,2025,0.24087650323774237,31,0.11181451612903609
rainfall,Solomon Islands,mm / year,47,1979,2025,0.40814061054578843,31,0.9188709677419408
rainfall,Tokelau,mm / year,47,1979,2025,-0.14845050878815708,31,-0.40185483870967337
rainfall,Tonga,mm / year,47,1979,2025,0.5205134135060115,31,0.449153225806459
rainfall,Tuvalu,mm / year,47,1979,2025,-0.20004625346900648,31,-0.3068145161290337
rainfall,Vanuatu,mm / year,47,1979,2025,0.2669981498612367,31,0.6065725806451668
rainfall,Wallis and Futuna,mm / year,47,1979,2025,0.3985430157261785,31,0.36963709677420015
